ID;name;height_cm;weight_kg;overall;potential;pac;sho;pas;dri;def;phy;crossing;finishing;heading_accuracy;short_passing;volleys;dribbling;curve;free_kick_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility;reactions;balance;shot_power;jumping;stamina;strength;long_shots;aggression;interceptions;positioning;vision;penalties;composure;marking;standing_tackle;sliding_tackle;gk_diving;gk_handling;gk_kicking;gk_positioning;gk_reflexes
173731;G. Bale;183;74;89;89;94;87;84;85;57;76;87;87;86;85;76;87;86;85;80;86;93;95;77;87;65;91;85;76;80;90;65;59;86;79;76;85;51;55;52;15;15;11;5;6
153079;S. Agüero;173;70;89;89;87;88;75;89;23;72;70;90;68;79;85;89;82;72;63;89;90;84;86;89;91;88;80;74;74;83;63;24;91;83;83;90;13;20;12;13;15;6;11;14
138956;G. Chiellini;187;85;89;89;74;46;56;59;90;85;58;33;84;59;45;58;60;31;59;57;68;78;59;82;64;78;89;68;91;49;92;88;28;50;50;82;92;92;90;3;3;2;4;3
1179;G. Buffon;191;94;89;89;89;88;74;84;46;90;13;15;13;37;17;26;20;13;35;28;49;43;55;80;49;39;75;39;69;13;38;28;12;50;22;70;10;11;11;89;88;74;90;84
211110;P. Dybala;177;73;88;93;86;85;81;91;24;67;80;85;68;83;88;92;88;84;71;93;88;84;91;84;85;82;75;83;65;88;48;24;84;84;86;84;14;20;20;5;4;4;5;8
200389;J. Oblak;189;82;88;93;84;90;77;84;52;87;13;11;15;29;13;12;13;14;26;16;43;60;67;84;49;22;76;41;78;12;34;19;11;55;11;55;14;12;18;84;90;77;87;84
194765;A. Griezmann;174;72;88;91;86;85;78;87;30;68;82;88;80;79;87;87;84;75;75;86;87;86;90;90;80;81;87;76;61;82;69;35;91;76;71;86;23;22;11;14;8;14;13;14
189509;Thiago;174;70;88;90;72;75;85;90;62;63;72;69;58;91;90;90;85;77;90;92;77;68;90;84;86;75;75;75;59;82;57;78;83;86;75;83;49;64;62;6;11;7;9;13
188567;P. Aubameyang;187;80;88;88;96;84;75;81;37;71;77;88;79;77;86;82;78;74;64;82;95;96;77;87;70;81;77;79;77;79;43;48;89;77;74;84;28;25;36;6;9;15;9;9
184344;L. Bonucci;190;85;88;88;68;54;70;70;87;81;44;39;88;79;58;69;56;61;85;75;62;72;60;86;52;74;85;73;85;65;82;90;38;74;70;84;84;88;88;2;2;3;2;4
183907;J. Boateng;192;90;88;88;75;50;72;67;88;84;69;34;85;75;53;67;56;31;80;71;72;78;58;82;53;79;75;74;91;58;82;83;47;76;46;86;88;91;90;7;12;15;6;5
182493;D. Godín;186;78;88;88;67;48;65;63;88;79;55;42;92;79;47;53;49;51;70;76;64;70;63;85;58;67;89;67;80;43;88;88;48;52;50;82;87;86;89;6;8;15;5;15
178603;M. Hummels;191;92;88;88;64;58;75;71;89;76;64;55;89;80;60;68;65;53;85;77;62;65;64;85;58;71;68;66;85;51;66;89;56;79;68;91;85;92;90;15;6;10;5;6
176635;M. Özil;180;76;88;88;71;74;87;86;24;58;82;74;54;89;77;86;84;79;84;90;75;68;83;87;70;70;52;69;57;76;48;24;83;92;67;78;22;16;19;6;14;10;6;14
167948;H. Lloris;188;82;88;88;88;86;68;90;64;82;13;10;10;50;11;10;11;10;50;34;65;63;55;85;54;23;74;41;43;14;31;27;10;30;40;61;12;10;18;88;86;68;82;90
164240;Thiago Silva;183;79;88;88;72;56;73;73;89;79;60;38;82;79;63;68;61;67;81;80;70;74;74;84;68;74;93;74;81;71;77;89;59;74;71;83;90;89;88;9;12;5;9;10
41236;Z. Ibrahimović;195;95;88;88;65;88;81;82;32;82;76;87;80;84;90;82;82;82;76;88;63;67;81;86;41;91;69;71;88;85;84;20;86;83;91;91;15;41;27;13;15;10;9;12
9014;A. Robben;180;80;88;88;86;86;81;91;32;63;80;85;51;84;86;92;87;81;71;89;87;86;89;87;91;87;61;68;67;88;47;39;85;83;80;86;29;26;26;10;8;11;5;15
215914;N. Kanté;168;68;87;90;81;66;75;79;81;84;67;65;54;84;56;77;49;49;79;79;82;80;83;87;90;72;79;94;77;66;90;91;71;76;54;84;75;89;85;15;12;10;7;10
199556;M. Verratti;165;60;87;91;65;59;84;89;79;68;72;58;55;90;64;90;73;64;89;88;69;62;87;87;94;56;64;77;56;58;89;86;71;88;64;91;76;84;79;12;12;15;15;10
195864;P. Pogba;191;84;87;92;74;79;84;85;68;88;78;71;73;86;85;86;84;82;88;89;72;76;76;84;61;90;85;91;91;82;75;68;83;86;76;85;66;68;66;5;6;2;4;3
190460;C. Eriksen;182;76;87;91;75;78;88;84;47;63;86;76;52;89;74;84;85;87;86;87;77;74;78;83;82;80;57;90;57;84;44;55;81;90;67;87;38;56;22;9;14;7;7;6
181872;A. Vidal;180;75;87;87;75;81;80;79;83;84;76;77;81;84;78;76;76;68;82;83;76;74;75;89;77;86;82;91;77;85;93;85;80;80;81;86;76;89;85;4;2;4;2;4
179813;E. Cavani;184;71;87;87;77;83;72;80;42;81;70;83;88;78;84;80;75;74;50;80;75;78;81;90;59;85;88;92;74;78;84;48;92;77;84;83;24;45;27;12;5;13;13;10
176676;Marcelo;174;75;87;87;78;69;80;86;83;79;90;67;71;82;54;86;80;67;76;88;77;79;77;87;82;83;77;81;77;66;84;86;75;75;59;85;80;85;87;12;5;5;5;9
171877;M. Hamšík;183;79;87;87;74;80;84;84;68;71;78;78;74;88;79;86;80;72;82;87;72;75;76;88;66;82;71;85;69;83;56;72;88;86;70;84;60;73;62;8;6;4;14;14
168651;I. Rakitić;184;78;87;87;65;84;86;83;60;66;81;83;58;87;80;84;88;84;92;87;67;64;72;79;66;84;44;76;63;88;67;69;80;87;78;81;52;65;53;14;11;12;5;9
168542;David Silva;173;67;87;87;68;72;87;87;38;61;83;71;54;91;79;84;82;75;79;90;72;65;92;84;89;71;66;78;56;73;51;43;81;92;73;92;25;44;29;1;1;1;1;1
162835;S. Handanovič;193;92;87;87;87;86;69;87;56;87;12;10;10;36;12;18;12;14;34;24;54;57;42;83;36;22;78;41;71;19;25;22;12;41;23;62;17;10;13;87;86;69;87;87
152729;Piqué;194;85;87;87;65;61;69;65;86;76;57;64;83;81;57;59;58;43;80;78;55;73;58;84;42;62;74;66;83;51;72;88;58;62;69;86;86;87;86;10;11;14;15;8
41;Iniesta;171;68;87;87;71;70;87;90;58;58;77;70;54;92;74;90;80;70;86;94;72;71;79;88;84;65;52;58;58;71;58;66;84;94;71;89;57;57;56;6;13;6;13;7
202126;H. Kane;188;86;86;90;73;87;72;78;42;83;70;90;83;75;73;78;71;66;67;82;70;75;73;87;62;87;70;85;86;84;74;35;89;75;86;84;41;36;38;8;10;11;14;11
198710;J. Rodríguez;180;75;86;89;76;85;85;83;40;68;88;82;62;84;91;83;87;86;80;85;77;75;82;84;75;86;54;68;70;91;65;55;80;86;81;87;25;42;30;15;15;15;5;14
197781;Isco;176;74;86;90;71;83;82;89;54;62;72;88;55;86;64;90;86;74;85;91;74;69;83;79;85;72;64;71;59;87;58;70;83;84;76;86;25;73;51;10;8;12;15;6
197445;D. Alaba;180;76;86;88;86;73;81;80;82;74;82;63;75;83;68;79;78;85;80;83;86;86;79;84;77;83;82;87;69;83;69;85;77;78;80;79;81;83;83;5;7;14;15;9
192505;R. Lukaku;190;94;86;90;83;85;70;74;34;84;68;89;87;71;76;78;72;66;68;75;76;89;62;85;47;88;71;80;93;75;72;27;87;73;82;84;27;30;30;8;15;14;7;10
191043;Alex Sandro;181;81;86;88;86;65;77;81;81;84;86;55;76;81;68;82;78;59;71;81;84;88;79;86;79;80;79;93;80;72;82;82;70;70;60;82;78;84;84;7;7;9;12;5
189596;T. Müller;186;75;86;86;77;82;77;78;46;71;77;87;82;81;83;75;81;59;68;82;76;78;76;92;72;77;81;90;67;77;57;58;93;81;60;83;31;41;44;6;7;11;14;14
189511;Sergio Busquets;189;76;86;86;40;59;79;74;82;81;62;60;68;88;44;74;66;68;79;80;48;34;58;82;55;61;66;88;77;54;85;86;77;84;60;88;81;85;80;5;8;13;9;13
189242;Coutinho;171;71;86;89;82;78;83;88;35;64;77;74;47;85;75;88;84;82;78;88;88;77;92;81;92;80;59;80;61;86;55;30;83;87;64;85;24;44;40;12;7;9;14;6
188350;M. Reus;180;75;86;86;88;87;84;86;39;64;80;86;49;86;88;86;90;84;80;85;86;90;86;87;81;87;72;68;67;88;49;50;86;86;87;83;30;36;46;12;12;13;13;11
184087;T. Alderweireld;187;91;86;87;66;58;72;65;87;80;64;45;82;77;38;62;63;69;81;70;62;69;60;86;50;86;81;76;82;66;81;84;56;67;60;81;89;90;85;16;6;14;16;14
179944;David Luiz;189;84;86;86;70;64;74;71;84;81;68;55;83;79;64;66;70;76;78;79;68;71;72;79;56;77;80;76;81;71;86;87;54;69;75;78;80;85;84;11;12;10;7;14
179844;Diego Costa;186;87;86;86;75;83;65;76;40;88;65;88;83;67;81;77;62;59;52;83;74;75;58;86;52;84;64;83;91;73;93;40;88;74;76;84;28;39;34;11;13;12;8;11
178518;R. Nainggolan;176;77;86;86;78;80;78;82;81;83;73;76;59;84;75;80;73;68;81;85;80;76;81;87;84;84;76;94;76;86;88;86;88;76;63;85;78;86;88;11;11;14;8;11
177610;Javi Martínez;190;81;86;86;50;60;69;65;86;80;60;53;90;75;61;62;54;45;74;71;49;50;54;84;58;76;83;64;84;63;91;86;57;74;52;83;84;87;87;5;12;9;11;8
175943;D. Mertens;169;61;86;86;90;82;79;89;36;55;77;85;35;81;70;89;81;77;74;88;93;87;94;85;92;80;60;75;42;81;59;36;85;82;78;81;30;40;40;7;10;8;10;4
172879;Sokratis;186;85;86;86;78;52;55;60;87;84;47;44;87;64;46;58;36;35;64;58;71;84;62;81;68;79;87;74;86;48;91;80;50;52;33;82;88;90;86;6;8;5;12;5
168609;Miranda;186;78;86;86;71;49;60;67;88;77;48;43;83;70;51;65;32;39;69;72;67;74;61;82;57;70;82;65;80;41;83;88;43;58;49;84;89;90;86;12;6;10;13;12
165153;K. Benzema;187;79;86;86;78;82;78;82;22;74;75;84;78;86;79;82;79;73;55;86;77;78;77;83;60;83;70;73;78;77;65;22;87;85;82;79;13;15;12;13;11;5;5;7
162895;Cesc Fàbregas;180;77;86;86;63;77;88;80;61;64;85;76;74;91;81;80;77;81;90;86;65;62;65;81;77;77;68;80;64;75;45;50;78;91;80;92;60;63;62;6;10;8;15;15
156616;F. Ribéry;170;72;86;86;82;76;83;90;25;58;81;76;41;86;80;90;83;81;75;90;85;79;88;86;91;76;34;64;60;75;52;36;81;86;78;86;13;25;26;15;6;9;7;10
120533;Pepe;188;81;86;86;68;51;57;61;86;80;46;46;80;70;23;58;44;47;61;62;65;70;63;83;49;63;76;62;84;56;94;86;40;48;57;77;86;86;87;8;15;5;9;10
48940;P. Čech;196;90;86;86;82;87;76;81;42;83;19;12;19;35;17;12;13;19;33;22;40;44;49;84;34;21;51;32;65;11;17;23;13;53;23;70;11;13;12;82;87;76;83;81
208418;Y. Carrasco;180;67;85;90;88;79;78;88;29;63;80;79;53;79;68;91;81;78;74;86;87;89;91;83;71;84;68;73;59;75;61;18;82;74;74;75;19;39;26;9;11;9;10;10
201535;R. Varane;191;78;85;92;83;45;61;64;84;79;36;40;83;75;42;57;46;54;76;77;80;85;58;81;47;52;80;68;85;53;77;82;44;56;43;82;84;86;85;11;11;9;5;14
201153;Morata;189;85;85;89;83;81;71;80;24;74;73;84;83;78;81;83;76;44;51;84;79;87;65;81;60;80;79;73;82;76;56;24;85;76;70;80;14;14;20;4;5;4;4;5
200145;Casemiro;184;80;85;89;62;68;74;72;84;86;52;59;74;82;53;69;59;74;84;78;63;61;66;83;57;86;87;85;85;77;87;86;66;76;66;86;83;87;86;13;14;16;12;12
198219;L. Insigne;163;59;85;86;90;74;82;89;25;50;83;73;56;83;74;88;83;77;73;90;94;86;96;80;93;70;53;75;44;80;34;26;83;87;61;78;16;24;22;8;4;14;9;10
193747;Koke;178;74;85;88;72;75;86;82;65;76;84;71;61;86;56;80;85;76;85;86;74;70;77;84;79;84;61;84;75;81;71;66;82;89;59;75;66;69;51;14;12;5;10;13
193301;A. Lacazette;175;73;85;88;86;83;71;85;38;77;64;87;72;79;82;85;74;71;59;84;84;87;87;85;84;81;76;80;79;76;70;40;87;74;84;86;23;42;30;11;6;9;5;6
193041;K. Navas;185;78;85;85;89;78;72;88;53;80;11;15;11;30;11;16;11;15;37;19;54;53;60;82;61;21;74;39;75;13;32;20;16;54;25;49;12;14;14;89;78;72;80;88
192883;H. Mkhitaryan;177;75;85;85;86;79;80;87;54;70;79;77;53;84;81;87;83;64;72;87;88;84;89;82;85;87;71;86;63;75;69;64;82;85;72;79;49;53;55;5;11;14;5;7
192593;D. Subašić;191;84;85;85;84;79;79;87;53;85;11;10;13;24;13;11;24;66;26;19;51;54;42;82;37;24;75;32;80;14;31;20;15;52;23;65;15;14;13;84;79;79;85;87
192563;B. Leno;190;83;85;88;85;84;74;83;49;85;9;9;13;37;10;16;9;8;33;22;46;52;52;81;44;23;73;43;68;14;28;22;7;53;23;62;8;15;18;85;84;74;85;83
192448;M. ter Stegen;187;85;85;89;84;83;87;86;45;81;15;14;11;30;14;17;18;12;38;18;38;50;37;82;43;22;79;35;79;10;43;22;11;57;25;62;10;13;10;84;83;87;81;86
190547;K. Glik;190;80;85;85;56;32;44;53;86;84;29;27;85;63;17;51;35;26;59;59;53;58;34;79;55;57;82;72;90;20;86;87;24;23;39;79;85;87;83;10;14;5;8;10
189332;Jordi Alba;170;68;85;85;93;69;75;82;81;72;82;73;63;79;60;80;77;64;70;83;93;93;90;82;86;64;81;90;60;66;75;83;77;68;59;75;81;84;83;13;15;13;6;13
186942;I. Gündoğan;180;80;85;87;71;74;83;87;64;71;74;72;49;88;75;87;81;74;83;88;73;70;83;87;81;77;62;71;74;74;68;79;79;87;76;86;57;67;64;11;14;5;5;13
184432;Azpilicueta;178;78;85;87;79;55;75;74;86;78;78;46;76;80;51;69;66;58;74;79;78;79;75;86;73;68;76;88;73;60;80;85;62;68;66;78;87;88;87;13;9;10;6;5
183898;A. Di María;180;75;85;85;86;77;82;86;47;68;85;74;53;83;77;86;78;72;79;85;86;86;92;80;79;83;72;78;60;77;73;38;82;81;73;82;37;59;56;10;7;11;12;11
180206;M. Pjanić;180;70;85;86;74;71;86;86;67;69;80;61;60;89;72;86;86;91;85;89;74;74;79;84;79;78;61;78;65;82;68;74;70;88;79;84;62;70;66;7;7;13;7;8
173210;C. Marchisio;180;73;85;85;78;72;83;84;76;74;76;61;68;87;76;84;78;78;85;85;78;78;81;86;79;82;68;81;70;82;78;80;80;84;78;84;72;78;80;4;3;4;2;4
172871;J. Vertonghen;189;88;85;85;67;65;73;70;85;81;68;56;81;79;52;69;58;73;74;74;68;66;62;82;55;86;83;79;81;68;83;86;60;68;68;81;84;86;86;6;10;9;12;7
170890;B. Matuidi;175;70;85;85;78;67;77;75;83;84;75;65;73;84;72;73;65;52;79;77;79;78;76;84;79;74;84;94;78;66;85;85;68;75;56;82;83;84;81;8;11;5;10;14
167628;S. Ruffier;188;93;85;85;82;84;77;87;48;85;11;11;12;33;13;12;17;12;34;15;45;50;51;78;55;21;72;37;76;11;31;25;12;49;25;57;11;12;11;82;84;77;85;87
164169;Filipe Luís;182;73;85;85;79;62;77;77;82;79;84;59;68;78;56;77;74;75;77;81;75;82;74;83;60;71;63;91;74;60;81;82;71;70;65;88;85;83;86;11;15;9;9;5
139720;V. Kompany;193;85;85;85;63;54;65;64;84;83;61;45;84;72;46;63;61;52;66;68;61;64;60;84;42;75;71;74;88;55;87;80;41;59;63;81;84;85;84;10;9;5;8;6
137186;A. Barzagli;187;87;85;85;71;34;57;64;88;73;40;21;72;65;35;64;50;31;65;65;64;76;51;80;64;54;85;46;87;39;70;92;28;62;60;82;90;90;88;4;2;4;2;4
225508;E. Bailly;187;77;84;89;78;42;59;65;84;84;51;33;81;72;42;63;46;43;56;68;75;80;63;78;63;55;84;78;85;48;87;85;47;54;46;74;82;85;85;14;14;10;9;8
220834;Marco Asensio;180;75;84;92;82;82;83;83;39;61;79;82;50;86;75;83;83;76;81;86;83;82;78;78;76;84;57;73;61;87;45;45;72;83;62;82;29;42;39;13;9;6;12;10
218667;Bernardo Silva;173;64;84;91;81;72;81;90;45;61;79;76;51;84;66;91;79;63;78;89;85;78;88;84;86;72;53;80;54;64;58;49;77;85;64;84;46;44;35;9;10;14;12;9
212218;A. Laporte;189;85;84;89;69;50;66;61;86;78;58;45;85;73;40;55;61;69;78;71;68;70;49;82;55;68;77;71;84;47;72;85;54;52;35;74;86;88;85;10;11;5;14;5
211117;D. Alli;188;80;84;90;76;81;77;82;64;78;68;84;75;83;76;83;71;53;76;85;77;76;74;85;62;77;69;89;71;79;84;67;86;83;68;86;60;63;57;7;6;9;11;8
208722;S. Mané;175;69;84;87;93;78;75;85;36;75;72;83;53;77;68;86;74;64;71;84;94;92;89;80;85;77;75;82;72;69;73;31;84;78;71;78;33;35;38;10;10;15;7;14
204963;Carvajal;173;73;84;87;82;45;73;79;83;79;83;41;65;81;34;76;72;47;71;83;76;86;82;81;79;64;76;84;75;36;81;82;61;57;45;74;85;85;86;13;13;15;9;15
202166;J. Draxler;187;72;84;87;78;80;82;86;34;64;83;78;65;84;84;88;78;75;77;87;76;79;81;83;75;86;76;68;67;81;48;36;79;84;63;81;25;35;26;11;13;5;13;8
201399;M. Icardi;181;75;84;89;78;83;61;75;26;70;46;89;84;73;81;74;58;45;54;77;75;80;74;83;76;81;92;70;74;70;55;22;89;64;78;82;17;21;21;13;9;5;7;9
201024;K. Koulibaly;195;89;84;87;73;26;43;56;85;86;30;19;79;59;14;54;28;28;48;59;69;76;50;80;40;55;77;73;93;15;87;86;24;34;33;78;85;87;85;7;11;7;13;5
200316;T. Horn;192;90;84;90;83;81;83;86;48;82;19;13;14;35;14;20;12;15;32;22;45;51;50;81;31;22;64;31;67;17;41;22;15;55;21;20;11;13;12;83;81;83;82;86
192774;K. Manolas;189;83;84;86;80;19;42;60;86;83;27;10;80;60;16;54;30;10;61;65;78;81;68;81;60;43;86;78;84;12;86;85;25;22;26;75;88;86;87;8;6;8;15;12
192227;S. Mustafi;184;82;84;86;67;57;63;62;83;79;50;58;81;77;51;53;55;47;69;70;64;69;66;82;69;66;84;74;81;52;79;85;50;55;54;74;82;83;85;11;9;15;10;6
191740;Ander Herrera;182;70;84;84;73;72;81;83;78;77;74;71;60;86;69;81;80;65;80;86;76;70;84;85;82;72;63;87;70;72;86;86;78;84;79;84;80;78;76;9;12;15;9;8
191202;N. Matić;194;85;84;84;64;70;77;72;80;87;68;64;77;83;74;72;68;67;81;78;62;66;56;82;53;78;71;89;89;75;83;85;68;75;69;84;75;83;75;7;15;12;14;9
189712;K. Strootman;186;78;84;85;67;74;82;78;78;82;74;68;68;86;63;76;75;74;83;85;65;68;65;84;68;85;53;82;83;78;86;84;78;84;77;85;72;83;75;7;12;11;6;7
189505;Pedro;169;65;84;84;82;77;77;85;37;62;78;81;55;83;70;84;81;57;70;87;84;80;84;84;82;71;67;78;56;78;56;49;84;77;66;78;30;32;31;5;11;12;15;9
189117;R. Bürki;187;85;84;86;84;83;73;85;48;79;15;8;17;37;13;16;13;12;24;23;44;52;51;80;52;22;74;36;74;14;35;18;10;50;20;58;14;13;16;84;83;73;79;85
184120;Bruno;184;73;84;84;41;72;79;75;78;77;60;66;61;87;48;75;72;77;86;83;42;41;53;84;59;84;66;76;77;81;79;85;69;83;75;86;70;84;85;13;10;9;11;8
181458;I. Perišić;187;80;84;84;84;80;78;82;42;75;84;79;78;78;80;83;73;76;72;83;81;87;78;80;67;83;82;86;75;80;59;42;84;78;76;80;26;45;45;6;7;10;9;6
180930;E. Džeko;193;84;84;84;64;83;70;74;32;72;63;87;84;77;77;76;65;54;72;80;67;61;57;83;36;86;66;70;82;73;51;50;89;70;67;79;11;28;16;9;11;13;15;15
180403;Willian;175;77;84;84;88;76;81;86;49;64;77;77;29;82;59;87;82;85;77;86;91;86;89;83;81;71;46;87;62;81;44;55;80;83;70;79;43;58;51;14;12;13;7;13
179846;S. Khedira;189;89;84;84;64;74;80;76;80;84;72;69;76;85;76;78;68;68;81;81;60;68;59;86;52;82;68;78;89;78;82;86;80;82;69;84;76;82;78;11;9;5;15;8
179783;R. Fährmann;196;95;84;85;83;86;52;87;43;85;14;11;15;25;11;15;18;11;26;24;38;47;39;84;36;24;72;32;79;9;36;23;11;42;21;61;12;12;10;83;86;52;85;87
178750;Sergio Asenjo;189;87;84;85;86;83;76;85;56;82;24;14;13;39;22;15;23;22;39;14;59;54;62;79;58;24;73;43;73;23;20;22;12;46;15;39;12;15;14;86;83;76;82;85
178088;Juan Mata;170;63;84;84;67;76;84;84;32;55;84;79;59;86;71;82;84;84;77;87;71;63;85;84;89;75;72;77;43;70;52;39;83;87;81;85;25;28;21;9;10;14;5;8
177509;M. Benatia;190;92;84;84;74;42;54;64;85;82;45;45;80;65;31;64;34;27;65;65;72;76;59;78;51;59;82;68;89;24;82;84;38;47;41;78;86;86;84;7;4;8;7;11
167397;Falcao;177;72;84;84;69;84;68;78;37;74;55;87;90;78;84;74;83;71;58;82;73;66;85;84;75;79;92;68;75;80;75;41;87;68;84;87;16;42;19;10;13;6;9;5
165229;L. Koscielny;186;75;84;84;75;41;62;65;85;78;52;32;81;76;35;62;22;49;69;67;74;76;68;82;62;54;82;75;76;47;88;86;39;56;51;75;83;87;84;13;11;9;11;7
164468;G. Cahill;193;86;84;84;63;58;52;61;84;78;28;56;86;65;47;58;48;27;61;63;62;63;62;85;51;63;82;69;80;66;84;83;45;56;53;75;84;85;84;5;12;9;5;12
146530;Dani Alves;172;68;84;84;82;68;81;85;77;66;86;55;72;83;68;84;80;74;77;86;79;84;85;79;87;86;80;76;55;78;78;81;74;78;70;82;73;79;83;5;11;9;6;7
143076;A. Gómez;165;68;84;84;90;77;80;89;31;58;82;78;36;82;72;89;78;71;72;87;94;86;92;83;94;76;70;78;48;78;56;40;81;85;71;84;24;30;34;8;11;12;9;6
106231;Aduriz;182;78;84;84;70;83;65;77;46;80;54;85;94;73;84;79;61;54;52;82;69;70;53;85;57;83;94;64;85;80;82;23;86;73;75;87;46;44;49;14;10;9;15;9
231747;K. Mbappé;178;73;83;94;90;80;74;85;47;74;70;87;76;78;74;86;75;58;68;87;89;90;78;79;76;79;71;83;74;68;62;49;79;77;70;80;41;44;40;13;5;7;11;6
231443;O. Dembélé;178;67;83;92;91;76;75;89;33;56;77;77;43;74;76;92;78;65;68;85;93;89;90;82;85;82;59;74;47;65;54;36;78;84;75;73;29;30;33;6;6;14;10;13
220971;N. Keïta;172;64;83;88;73;71;77;89;62;70;62;74;42;88;59;90;63;47;78;88;82;66;90;84;90;76;56;88;59;66;77;79;74;81;58;79;55;63;61;7;14;15;14;9
216460;J. Giménez;185;76;83;87;70;45;51;52;84;81;47;37;79;68;30;47;36;44;58;56;68;72;57;76;50;72;90;68;84;48;89;85;24;27;38;73;85;84;87;9;11;7;10;15
215316;G. Rulli;189;84;83;89;85;79;75;86;51;82;12;15;12;32;16;15;19;20;23;15;54;48;58;77;50;24;68;42;73;17;26;21;12;58;24;30;16;13;17;85;79;75;82;86
213565;T. Lemar;170;58;83;91;85;78;80;86;62;70;82;78;54;82;75;88;81;81;71;86;86;84;85;76;84;82;72;79;69;76;63;66;76;82;68;79;63;59;63;11;15;13;7;14
212814;João Mário;179;73;83;88;73;70;80;83;70;71;77;66;55;83;69;84;74;67;78;85;71;75;81;82;70;77;63;84;69;73;61;78;80;82;66;85;67;75;61;6;15;8;8;8
212190;N. Süle;195;97;83;89;65;41;51;49;83;81;30;20;85;76;29;42;28;30;61;63;51;76;33;80;32;77;38;65;94;62;81;82;26;30;32;72;81;86;82;15;7;14;7;15
210257;Ederson;188;86;83;89;81;76;82;87;63;78;20;14;14;15;18;21;12;20;30;30;64;63;60;86;40;42;58;38;68;18;35;25;16;60;17;58;9;15;8;81;76;82;78;87
209658;L. Goretzka;189;79;83;88;85;74;80;80;78;76;75;72;75;84;68;80;76;75;79;82;85;85;76;84;72;77;67;86;68;78;84;82;79;82;60;81;74;79;78;13;8;15;11;9
209499;Fabinho;188;78;83;88;74;65;76;76;83;83;79;66;75;82;30;75;71;45;74;80;73;75;71;79;69;75;77;89;80;53;83;83;68;72;91;80;79;88;85;13;12;6;8;8
